date,long_term_real_average
10/6/15,0.95
10/5/15,0.98
10/2/15,0.93
10/1/15,1
9/30/15,1.05
9/29/15,1.05
9/28/15,1.07
9/25/15,1.1
9/24/15,1.03
9/23/15,1.04
9/22/15,1.04
9/21/15,1.08
9/18/15,0.98
9/17/15,1.04
9/16/15,1.11
9/15/15,1.09
9/14/15,1
9/11/15,0.98
9/10/15,1.01
9/9/15,1.01
9/8/15,1.04
9/4/15,0.98
9/3/15,1.02
9/2/15,1.02
9/1/15,0.97
8/31/15,0.96
8/28/15,0.93
8/27/15,0.96
8/26/15,1.02
8/25/15,0.95
8/24/15,0.87
8/21/15,0.85
8/20/15,0.84
8/19/15,0.87
8/18/15,0.92
8/17/15,0.87
8/14/15,0.87
8/13/15,0.88
8/12/15,0.84
8/11/15,0.81
8/10/15,0.86
8/7/15,0.82
8/6/15,0.88
8/5/15,0.9
8/4/15,0.85
8/3/15,0.8
7/31/15,0.82
7/30/15,0.85
7/29/15,0.86
7/28/15,0.85
7/27/15,0.82
7/24/15,0.84
7/23/15,0.83
7/22/15,0.87
7/21/15,0.89
7/20/15,0.91
7/17/15,0.89
7/16/15,0.89
7/15/15,0.91
7/14/15,0.96
7/13/15,0.97
7/10/15,0.95
7/9/15,0.88
7/8/15,0.78
7/7/15,0.79
7/6/15,0.82
7/2/15,0.91
7/1/15,0.94
6/30/15,0.87
